CASE#,X,Y,cluster_label
JJ280072,1173444.0,1901384.0,0
JJ369259,1169906.0,1933191.0,0
JK184217,1158548.0,1901906.0,0
JJ269407,1171308.0,1863061.0,1
JJ396731,1177578.0,1888846.0,0
JK119432,1169705.0,1864024.0,1
JJ397704,1140503.0,1912148.0,0
JJ281129,1168739.0,1899717.0,0
JJ298348,1153368.0,1921084.0,0
JK219552,1172107.0,1885385.0,0
JK149319,1167669.0,1873585.0,1
JK141443,1180661.0,1851059.0,1
JK235337,1165630.0,1834806.0,1
JJ390666,1159327.0,1936812.0,0
JJ306129,1182824.0,1833681.0,1
JK147629,1136150.0,1862473.0,1
JJ422583,1156220.0,1893242.0,0
JK240243,1167930.0,1893446.0,0
JK111918,1172960.0,1915889.0,0
JJ317132,1175610.0,1897874.0,0
JK104995,1177074.0,1904512.0,0
JK156651,1169246.0,1844843.0,1
JK145705,1176607.0,1891853.0,0
JK208931,1160867.0,1917657.0,0
JJ277804,1155195.0,1864309.0,1
JJ419251,1171192.0,1842538.0,1
JK221157,1167719.0,1934285.0,0
JJ365224,1177319.0,1852276.0,1
JJ346333,1171065.0,1857751.0,1
JJ422228,1171070.0,1899648.0,0
JK244006,1160944.0,1943135.0,0
JJ293910,1161162.0,1873367.0,1
JK246952,1168290.0,1926060.0,0
JJ496844,1203183.0,1833602.0,1
JK179800,1177790.0,1836341.0,1
JK246857,1154445.0,1922614.0,0
JK179344,1171042.0,1891859.0,0
JJ384375,1168918.0,1899259.0,0
JJ456393,1156373.0,1836151.0,1
JK247951,1156343.0,1898537.0,0
JK170817,1162909.0,1929906.0,0
JK193444,1159264.0,1869711.0,1
JJ337781,1178263.0,1863570.0,1
JJ458231,1187570.0,1863935.0,1
JJ535210,1153473.0,1899322.0,0
JJ278682,1178214.0,1880299.0,1
JJ279630,1154847.0,1898893.0,0
JJ371625,1153617.0,1903416.0,0
JJ446628,1167732.0,1894517.0,0
JK147504,1138918.0,1903639.0,0
JJ344301,1175872.0,1908368.0,0
JK233697,1196908.0,1847487.0,1
JK229389,1158435.0,1863713.0,1
JJ481101,1139107.0,1898031.0,0
JK216112,1175138.0,1900243.0,0
JJ436381,1187036.0,1868164.0,1
JJ352684,1165050.0,1934711.0,0
JJ357502,1180162.0,1881716.0,1
JK133289,1177660.0,1852569.0,1
JJ448826,1164157.0,1868187.0,1
JJ495564,1158172.0,1861176.0,1
JJ329665,1157009.0,1920146.0,0
JK214929,1167547.0,1846168.0,1
JK161906,1151253.0,1904721.0,0
JJ294925,1167481.0,1857650.0,1
JJ523249,1150459.0,1930637.0,0
JJ265486,1145565.0,1867583.0,1
JJ325604,1161753.0,1912715.0,0
JJ482473,1153005.0,1896144.0,0
JJ433679,1154780.0,1851099.0,1
JJ398534,1163949.0,1868590.0,1
JJ472506,1175023.0,1904549.0,0
JJ296758,1145727.0,1853720.0,1
JK114765,1176970.0,1857910.0,1
JJ429253,1160313.0,1903539.0,0
JJ409410,1152189.0,1920132.0,0
JJ281307,1155496.0,1861883.0,1
JK120380,1183337.0,1850602.0,1
JJ474789,1169829.0,1847589.0,1
JJ407137,1144868.0,1895266.0,0
JJ468342,1181907.0,1859412.0,1
JJ508519,1176533.0,1896669.0,0
JJ500631,1181638.0,1863877.0,1
JJ470485,1148011.0,1925601.0,0
JJ335474,1163777.0,1889420.0,0
JJ383744,1163647.0,1922690.0,0
JJ511353,1148549.0,1927206.0,0
JJ468989,1148368.0,1894370.0,0
JJ506848,1148903.0,1926279.0,0
JJ414872,1176025.0,1910070.0,0
JJ300507,1187043.0,1857210.0,1
JJ267842,1167272.0,1906135.0,0
JK224708,1129831.0,1915194.0,0
JJ313546,1161030.0,1895523.0,0
JJ290004,1124454.0,1922675.0,0
JJ437358,1158772.0,1898595.0,0
JK171726,1183106.0,1846613.0,1
JK204533,1159824.0,1889315.0,0
JJ402920,1165833.0,1864243.0,1
JJ517963,1152830.0,1884916.0,0
JK167195,1170129.0,1929242.0,0
JJ307101,1180713.0,1861176.0,1
JK130007,1159621.0,1900605.0,0
JK211249,1165997.0,1873545.0,1
JK146654,1130705.0,1942073.0,0
JJ375290,1135058.0,1913631.0,0
JJ281574,1161440.0,1943456.0,0
JK156244,1177408.0,1825760.0,1
JJ299283,1149612.0,1876242.0,0
JJ469916,1159804.0,1929158.0,0
JJ410452,1151570.0,1889668.0,0
JJ317416,1156235.0,1848715.0,1
JJ335307,1190278.0,1857977.0,1
JJ326318,1170192.0,1911045.0,0
JJ463309,1167349.0,1929356.0,0
JK148827,1157830.0,1896167.0,0
JJ346124,1169711.0,1910843.0,0
JK244048,1183674.0,1875545.0,1
JK195364,1168454.0,1914781.0,0
JJ359160,1169206.0,1910721.0,0
JJ303122,1163225.0,1870642.0,1
JJ430158,1175840.0,1904005.0,0
JK154588,1163643.0,1944557.0,0
JJ393627,1175650.0,1910553.0,0
JK183753,1148702.0,1909379.0,0
JK227831,1177682.0,1877848.0,1
JJ380628,1171588.0,1887792.0,0
JK205907,1166191.0,1920015.0,0
JJ384976,1172111.0,1908362.0,0
JK164530,1183760.0,1871845.0,1
JJ529423,1154635.0,1891565.0,0
JJ393798,1143445.0,1921833.0,0
JJ459581,1178698.0,1846427.0,1
JJ446476,1166987.0,1866712.0,1
JK157105,1186129.0,1864575.0,1
JK220508,1167921.0,1893766.0,0
JJ320560,1181729.0,1860438.0,1
JK198416,1172749.0,1838296.0,1
JK180392,1178530.0,1902473.0,0
JK164712,1141460.0,1898829.0,0
JK111609,1164195.0,1917731.0,0
JJ390907,1178331.0,1898943.0,0
JK259506,1138552.0,1901167.0,0
JJ356375,1151084.0,1912051.0,0
JJ509291,1171738.0,1918860.0,0
JJ461899,1187025.0,1857542.0,1
JJ357738,1176364.0,1900537.0,0
JK164178,1190824.0,1852984.0,1
JJ322883,1158813.0,1942750.0,0
JJ525408,1174715.0,1862826.0,1
JJ396498,1154546.0,1917331.0,0
